index,Suburb,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Coordinates,StreetType,WeekdaySale,MonthSale,AgeBuilding,Weekend
0,Abbotsford,2,h,1480000.0,S,Biggin,2016-12-03,2.5,3067,2,1,1,202.0,126.0,Yarra,-37.7996,144.9984,Northern Metropolitan,4019,"-37.7996, 144.9984",St,5,12,46,1
1,Abbotsford,2,h,1035000.0,S,Biggin,2016-02-04,2.5,3067,2,1,0,156.0,79.0,Yarra,-37.8079,144.9934,Northern Metropolitan,4019,"-37.8079, 144.9934",St,3,2,116,0
2,Abbotsford,3,h,1465000.0,SP,Biggin,2017-03-04,2.5,3067,3,2,0,134.0,150.0,Yarra,-37.8093,144.9944,Northern Metropolitan,4019,"-37.8093, 144.9944",St,5,3,117,1
3,Abbotsford,3,h,850000.0,PI,Biggin,2017-03-04,2.5,3067,3,2,1,94.0,126.0,Yarra,-37.7969,144.9969,Northern Metropolitan,4019,"-37.7969, 144.9969",other,5,3,47,1
4,Abbotsford,4,h,1600000.0,VB,Nelson,2016-06-04,2.5,3067,3,1,2,120.0,142.0,Yarra,-37.8072,144.9941,Northern Metropolitan,4019,"-37.8072, 144.9941",St,5,6,2,1
5,Abbotsford,2,h,941000.0,S,Jellis,2016-05-07,2.5,3067,2,1,0,181.0,126.0,Yarra,-37.8041,144.9953,Northern Metropolitan,4019,"-37.8041, 144.9953",St,5,5,46,1
6,Abbotsford,3,h,1876000.0,S,Nelson,2016-05-07,2.5,3067,4,2,0,245.0,210.0,Yarra,-37.8024,144.9993,Northern Metropolitan,4019,"-37.8024, 144.9993",St,5,5,106,1
7,Abbotsford,2,h,1636000.0,S,Nelson,2016-10-08,2.5,3067,2,1,2,256.0,107.0,Yarra,-37.806,144.9954,Northern Metropolitan,4019,"-37.806, 144.9954",St,5,10,126,1
8,Abbotsford,1,u,300000.0,S,Biggin,2016-10-08,2.5,3067,1,1,1,0.0,126.0,Yarra,-37.8008,144.9973,Northern Metropolitan,4019,"-37.8008, 144.9973",St,5,10,46,1
9,Abbotsford,2,h,1097000.0,S,Biggin,2016-10-08,2.5,3067,3,1,2,220.0,75.0,Yarra,-37.801,144.9989,Northern Metropolitan,4019,"-37.801, 144.9989",St,5,10,116,1
10,Abbotsford,2,u,700000.0,VB,Jellis,2016-11-12,2.5,3067,2,2,1,0.0,126.0,Yarra,-37.811,145.0067,Northern Metropolitan,4019,"-37.811, 145.0067",St,5,11,46,1
11,Abbotsford,3,h,1350000.0,VB,Nelson,2016-11-12,2.5,3067,3,2,2,214.0,190.0,Yarra,-37.8085,144.9964,Northern Metropolitan,4019,"-37.8085, 144.9964",St,5,11,11,1
12,Abbotsford,2,u,750000.0,S,Biggin,2016-11-12,2.5,3067,2,2,1,0.0,94.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019,"-37.8078, 144.9965",St,5,11,7,1
13,Abbotsford,2,h,1172500.0,S,Biggin,2016-08-13,2.5,3067,2,1,1,195.0,126.0,Yarra,-37.8084,144.9973,Northern Metropolitan,4019,"-37.8084, 144.9973",St,5,8,46,1
14,Abbotsford,1,u,441000.0,SP,Greg,2016-05-14,2.5,3067,1,1,1,0.0,126.0,Yarra,-37.8016,144.9988,Northern Metropolitan,4019,"-37.8016, 144.9988",St,5,5,46,1
15,Abbotsford,2,h,1310000.0,S,Jellis,2016-10-15,2.5,3067,2,1,2,238.0,97.0,Yarra,-37.809,144.9976,Northern Metropolitan,4019,"-37.809, 144.9976",St,5,10,126,1
16,Abbotsford,3,h,1200000.0,S,Jellis,2016-07-16,2.5,3067,3,2,1,113.0,110.0,Yarra,-37.8056,144.993,Northern Metropolitan,4019,"-37.8056, 144.993",St,5,7,136,1
17,Abbotsford,3,h,1176500.0,S,LITTLE,2016-07-16,2.5,3067,2,1,1,138.0,105.0,Yarra,-37.8021,144.9965,Northern Metropolitan,4019,"-37.8021, 144.9965",St,5,7,126,1
18,Abbotsford,3,h,955000.0,S,Collins,2016-09-17,2.5,3067,3,1,0,183.0,126.0,Yarra,-37.8022,144.9975,Northern Metropolitan,4019,"-37.8022, 144.9975",St,5,9,46,1
